OPEID,InstitutionName,PublicPrivate
3999300,Beaumont Adult School,private
NULL,Beautiful You School of Nail Technology,NULL
2504900,Beauty Academy,private
NULL,Beauty Academy of South Florida,NULL
NULL,Beauty Anatomy Institute of Cosmetology and Wellness,NULL
NULL,Beauty and Health Institute,NULL
2577700,Beauty College of America,private
739100,Beauty School of Middletown,private
NULL,Beauty Schools of America,NULL
2283800,Beauty Schools of America-Hialeah,private
NULL,Beauty Schools of America-Homestead,private
2283801,Beauty Schools of America-Miami,private
2283804,Beauty Schools of America-North Miami Beach,private
2510300,Beauty Technical College Inc,private
1191900,Beaver Falls Beauty Academy,private
212300,Becker College,private
2491100,Beckfield College-Florence,private
-2,Beckfield College-Tri-County,NULL
3713300,Beis Medrash Heichal Dovid,private
1267000,Bel-Rea Institute of Animal Technology,private
644800,Belanger School of Nursing,private
239700,Belhaven University,private
2536700,Bell Mar Beauty College,NULL
NULL,Bella Academy of Cosmetology,NULL
NULL,Bella Capelli Academy,NULL
NULL,Bella Cosmetology College,NULL
195400,Bellarmine University,private
NULL,Belle Academy of Cosmetology,NULL
3804300,Bellefonte Academy of Beauty,private
376900,Bellevue College,public
974300,Bellevue University,private
663900,Bellin College,NULL
499900,Bellingham Technical College,public
NULL,Bellus Academy,NULL
1202600,Bellus Academy-El Cajon,private
705000,Bellus Academy-National City,private
2343400,Bellus Academy-Poway,private
291000,Belmont Abbey College,private
994100,Belmont College,public
347900,Belmont University,private
383500,Beloit College,private
233600,Bemidji State University,public
1274300,Ben Franklin Career Center,public
342000,Benedict College,private
1025600,Benedictine College,private
176700,Benedictine University,private
3018500,Benes International School of Beauty,private
215100,Benjamin Franklin Institute of Technology,private
3409600,Bennett Career Institute,private
291100,Bennett College,private
368200,Bennington College,private
212400,Bentley University,private
195500,Berea College,private
473600,Bergen Community College,public
NULL,Bergin University of Canine Studies,NULL
1183000,Berk Trade and Business School,private
2242700,Berkeley City College,public
739400,Berkeley College-New York,private
750200,Berkeley College-Woodland Park,private
212600,Berklee College of Music,private
NULL,Berks Career & Technology Center,NULL
2253900,Berks Technical Institute,private
216700,Berkshire Community College,public
155400,Berry College,private
NULL,Best Care Training Institute,NULL
NULL,Bet Medrash Gadol Ateret Torah,NULL
1119200,Beth Hamedrash Shaarei Yosher Institute,NULL
1192200,Beth Hatalmud Rabbinical College,private
794700,Beth Medrash Govoha,NULL
NULL,Beth Medrash Meor Yitzchok,NULL
380800,Bethany College,private
190400,Bethany College,private
NULL,Bethany Global University,NULL
233700,Bethany Lutheran College,private
163700,Bethany Theological Seminary,NULL
NULL,Bethel College,NULL
178700,Bethel College-Indiana,private
190500,Bethel College-North Newton,private
905804,Bethel Seminary-San Diego,NULL
905803,Bethel Seminary-St Paul,NULL
348000,Bethel University,private
905800,Bethel University,private
3266300,Bethesda University,private
146700,Bethune-Cookman University,private
3076300,Beulah Heights University,private
573300,Bevill State Community College,public
3747300,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,NULL
NULL,Bexley Seabury Seminary Federation,NULL
NULL,Beyond 21st Century Beauty Academy,NULL
NULL,Beyond Measure Barbering Institute,NULL
2323000,Biblical Theological Seminary,NULL
3101500,Bidwell Training Center Inc,private
377000,Big Bend Community College,public
199600,Big Sandy Community and Technical College,public
112200,Biola University,private
101200,Birmingham Southern College,private
3668300,Birthingway College of Midwifery,NULL
3612300,Birthwise Midwifery School,private
103000,Bishop State Community College,public
298800,Bismarck State College,public
NULL,Bitterroot School of Cosmetology,NULL
4130800,BJ's Beauty & Barber College,private
2541900,BJ's Beauty & Barber College,private
163800,Black Hawk College,public
2137100,Black Hills Beauty College,private
345900,Black Hills State University,public
2052200,Black River Technical College,public
163900,Blackburn College,private
2510600,Blackfeet Community College,private
539000,Blackhawk Technical College,public
NULL,Blackstone Valley Vocational Regional School District,NULL
798700,Bladen Community College,public
3027200,Blades School of Hair Design,private
4003300,Blake Austin College,private
NULL,Blalock's Professional Beauty College,NULL
621401,Blessing Hospital School of Medical Laboratory Technology,NULL
621402,Blessing Hospital School of Radiologic Technology,NULL
621403,Blessing Rieman College of Nursing,NULL
354900,Blinn College,public
259700,Bloomfield College,private
331500,Bloomsburg University of Pennsylvania,public
3783300,Blue Cliff Career College,private
3422601,Blue Cliff College-Alexandria,private
3422501,Blue Cliff College-Fayetteville,private
3525300,Blue Cliff College-Gulfport,private
3294301,Blue Cliff College-Houma,private
3422600,Blue Cliff College-Lafayette,private
3294300,Blue Cliff College-Metairie,private
3422500,Blue Cliff College-Shreveport,private
552300,Blue Hills Regional Technical School,private
239800,Blue Mountain College,private
318600,Blue Mountain Community College,public
3957300,Blue Ridge Community and Technical College,public
968400,Blue Ridge Community College,public
681900,Blue Ridge Community College,public
3925300,Blue Sky School of Professional Massage and Therapeutic Bodywork,private
3704300,Blue Water College of Cosmetology Inc,private
370300,Bluefield College,private
380900,Bluefield State College,public
524400,Bluegrass Community and Technical College,public
301600,Bluffton University,private
002440A1  ,Board of Trustees-Mississippi State Institutions of Higher Learning,NULL
342100,Bob Jones University,private
NULL,Boca Beauty Academy,NULL
NULL,Body Therapy Institute,NULL
NULL,Boise Barber College,NULL
2234500,Boise Bible College,private
161600,Boise State University,public
3763400,Bold Beauty Academy,private
1004300,Bon Secours Memorial College of Nursing,private
NULL,Bon Secours St Mary's Hospital School of Medical Imaging,NULL
NULL,Bonnie Joseph Academy of Cosmetology and Barbering,NULL
1302900,Boricua College,private
NULL,Borner's Barber College,private
NULL,Bos-Man's Barber College,NULL
2055400,Bossier Parish Community College,public
396600,Boston Architectural College,private
3248300,Boston Baptist College,private
212800,Boston College,private
3194300,Boston Graduate School of Psychoanalysis Inc,NULL
213000,Boston University,private
203800,Bowdoin College,private
206200,Bowie State University,public
301801,Bowling Green State University-Firelands,public
301800,Bowling Green State University-Main Campus,public
485300,Bradford School,private
972100,Bradford School,private
3382300,Bradford-Union Technical Center,private
164100,Bradley University,private
2106800,Bramson ORT College,private
NULL,Brand College,NULL
213300,Brandeis University,private
001164A1  ,Brandman University,NULL
4128800,Branford Academy of Hair and Cosmetology,private
020740A1  ,Branford Hall Career Institute-Albany Campus,private
NULL,Branford Hall Career Institute-Amityville,NULL
2074004,Branford Hall Career Institute-Bohemia Campus,private
2074000,Branford Hall Career Institute-Branford Campus,private
1085101,Branford Hall Career Institute-Jersey City,private
1085102,Branford Hall Career Institute-North Brunswick,private
1085100,Branford Hall Career Institute-Parsippany,private
2074002,Branford Hall Career Institute-Southington Campus,private
2074003,Branford Hall Career Institute-Springfield Campus,private
2074001,Branford Hall Career Institute-Windsor Campus,private
NULL,Branford Hall Career Institute-Woodland Park,NULL
728700,Brazosport College,public
155600,Brenau University,private
195800,Brescia University,private
291200,Brevard College,private
2601600,Brewster Technical College,private
155700,Brewton-Parker College,private
