OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
NULL,2011,"0 to 30,000",9361
1085800,2011,"0 to 30,000",11193
NULL,2011,"0 to 30,000",10789
2519800,2011,"0 to 30,000",9476
4171700,2011,"0 to 30,000",9221
3691400,2011,"0 to 30,000",NULL
3941300,2011,"0 to 30,000",11900
3837300,2011,"0 to 30,000",15531
4155900,2011,"0 to 30,000",14135
NULL,2011,"0 to 30,000",NULL
2258400,2011,"0 to 30,000",10171
NULL,2011,"0 to 30,000",20238
4140700,2011,"0 to 30,000",12674
4141000,2011,"0 to 30,000",16543
4137800,2011,"0 to 30,000",13237
2600900,2011,"0 to 30,000",11656
4167100,2011,"0 to 30,000",10613
NULL,2011,"0 to 30,000",12420
2117800,2011,"0 to 30,000",10930
NULL,2011,"0 to 30,000",16808
NULL,2011,"0 to 30,000",NULL
2123200,2011,"0 to 30,000",10066
NULL,2011,"0 to 30,000",9628
3839300,2011,"0 to 30,000",26818
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",8847
4072300,2011,"0 to 30,000",9248
4142300,2011,"0 to 30,000",7994
4119400,2011,"0 to 30,000",16016
4134800,2011,"0 to 30,000",12387
NULL,2011,"0 to 30,000",NULL
987300,2011,"0 to 30,000",5024
4160700,2011,"0 to 30,000",8670
492900,2011,"0 to 30,000",NULL
598700,2011,"0 to 30,000",NULL
370200,2011,"0 to 30,000",17970
003702A1  ,2011,"0 to 30,000",21765
4038400,2011,"0 to 30,000",15354
NULL,2011,"0 to 30,000",NULL
3523300,2011,"0 to 30,000",22186
3126300,2011,"0 to 30,000",21443
3573300,2011,"0 to 30,000",20345
2596412,2011,"0 to 30,000",19932
3176300,2011,"0 to 30,000",21831
3616300,2011,"0 to 30,000",22173
NULL,2011,"0 to 30,000",NULL
3883400,2011,"0 to 30,000",19340
4156400,2011,"0 to 30,000",20479
3110700,2011,"0 to 30,000",20780
3986300,2011,"0 to 30,000",71600
244900,2011,"0 to 30,000",16432
3160300,2011,"0 to 30,000",12715
826300,2011,"0 to 30,000",17914
462100,2011,"0 to 30,000",22377
111700,2011,"0 to 30,000",19738
NULL,2011,"0 to 30,000",NULL
1235900,2011,"0 to 30,000",5125
212100,2011,"0 to 30,000",17275
314700,2011,"0 to 30,000",14775
1107400,2011,"0 to 30,000",2662
NULL,2011,"0 to 30,000",NULL
2622900,2011,"0 to 30,000",NULL
4081300,2011,"0 to 30,000",4825
467300,2011,"0 to 30,000",10974
467313,2011,"0 to 30,000",16013
467317,2011,"0 to 30,000",10804
467305,2011,"0 to 30,000",10500
467301,2011,"0 to 30,000",10859
467302,2011,"0 to 30,000",11275
467309,2011,"0 to 30,000",11825
467303,2011,"0 to 30,000",11343
467304,2011,"0 to 30,000",10550
467306,2011,"0 to 30,000",9863
190300,2011,"0 to 30,000",17477
111800,2011,"0 to 30,000",2609
3110800,2011,"0 to 30,000",NULL
1226801,2011,"0 to 30,000",11669
1226800,2011,"0 to 30,000",10270
3067400,2011,"0 to 30,000",NULL
301400,2011,"0 to 30,000",14996
178600,2011,"0 to 30,000",7571
206100,2011,"0 to 30,000",5499
3296300,2011,"0 to 30,000",10534
NULL,2011,"0 to 30,000",10281
2494700,2011,"0 to 30,000",9692
2337400,2011,"0 to 30,000",11367
266900,2011,"0 to 30,000",NULL
1320800,2011,"0 to 30,000",9239
3105200,2011,"0 to 30,000",13147
660600,2011,"0 to 30,000",NULL
3440300,2011,"0 to 30,000",10379
2331200,2011,"0 to 30,000",3766
3116900,2011,"0 to 30,000",NULL
3733300,2011,"0 to 30,000",7726
3010700,2011,"0 to 30,000",6925
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
191700,2011,"0 to 30,000",3757
267100,2011,"0 to 30,000",20748
964500,2011,"0 to 30,000",23426
270800,2011,"0 to 30,000",12524
638900,2011,"0 to 30,000",NULL
4164900,2011,"0 to 30,000",21825
2518900,2011,"0 to 30,000",6509
146600,2011,"0 to 30,000",15146
111900,2011,"0 to 30,000",9272
290800,2011,"0 to 30,000",18838
460800,2011,"0 to 30,000",5862
2242500,2011,"0 to 30,000",NULL
203600,2011,"0 to 30,000",9906
530600,2011,"0 to 30,000",6036
3730300,2011,"0 to 30,000",8606
2335701,2011,"0 to 30,000",NULL
2335702,2011,"0 to 30,000",NULL
2197500,2011,"0 to 30,000",NULL
1157400,2011,"0 to 30,000",25612
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
224000,2011,"0 to 30,000",5199
3066600,2011,"0 to 30,000",4126
212200,2011,"0 to 30,000",19735
396500,2011,"0 to 30,000",20773
2338200,2011,"0 to 30,000",30626
3758300,2011,"0 to 30,000",3046
494900,2011,"0 to 30,000",NULL
354500,2011,"0 to 30,000",20227
2285700,2011,"0 to 30,000",2951
NULL,2011,"0 to 30,000",NULL
3373300,2011,"0 to 30,000",34539
520400,2011,"0 to 30,000",10812
2154400,2011,"0 to 30,000",6750
NULL,2011,"0 to 30,000",NULL
855800,2011,"0 to 30,000",6721
3999300,2011,"0 to 30,000",18272
NULL,2011,"0 to 30,000",NULL
2504900,2011,"0 to 30,000",12052
NULL,2011,"0 to 30,000",18455
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
2577700,2011,"0 to 30,000",4555
739100,2011,"0 to 30,000",15252
NULL,2011,"0 to 30,000",20223
2283800,2011,"0 to 30,000",17537
2283805,2011,"0 to 30,000",17398
2283801,2011,"0 to 30,000",18748
2283804,2011,"0 to 30,000",18267
2510300,2011,"0 to 30,000",5801
1191900,2011,"0 to 30,000",18848
212300,2011,"0 to 30,000",21242
2491100,2011,"0 to 30,000",20634
-2,2011,"0 to 30,000",21245
3713300,2011,"0 to 30,000",9084
1267000,2011,"0 to 30,000",19521
644800,2011,"0 to 30,000",NULL
239700,2011,"0 to 30,000",23402
2536700,2011,"0 to 30,000",4490
NULL,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",14810
NULL,2011,"0 to 30,000",NULL
195400,2011,"0 to 30,000",16756
NULL,2011,"0 to 30,000",NULL
3804300,2011,"0 to 30,000",10116
376900,2011,"0 to 30,000",4978
974300,2011,"0 to 30,000",6087
663900,2011,"0 to 30,000",NULL
499900,2011,"0 to 30,000",6314
NULL,2011,"0 to 30,000",NULL
1202600,2011,"0 to 30,000",11158
705000,2011,"0 to 30,000",19850
2343400,2011,"0 to 30,000",21315
291000,2011,"0 to 30,000",20866
994100,2011,"0 to 30,000",7684
347900,2011,"0 to 30,000",23264
383500,2011,"0 to 30,000",6869
233600,2011,"0 to 30,000",8458
1274300,2011,"0 to 30,000",14187
342000,2011,"0 to 30,000",14780
1025600,2011,"0 to 30,000",18784
176700,2011,"0 to 30,000",15108
3018500,2011,"0 to 30,000",15411
215100,2011,"0 to 30,000",11396
3409600,2011,"0 to 30,000",5977
291100,2011,"0 to 30,000",17515
368200,2011,"0 to 30,000",17398
212400,2011,"0 to 30,000",17080
195500,2011,"0 to 30,000",-22195
473600,2011,"0 to 30,000",4834
NULL,2011,"0 to 30,000",NULL
1183000,2011,"0 to 30,000",13611
2242700,2011,"0 to 30,000",7181
739400,2011,"0 to 30,000",19731
750200,2011,"0 to 30,000",18859
212600,2011,"0 to 30,000",36641
NULL,2011,"0 to 30,000",NULL
2253900,2011,"0 to 30,000",14910
216700,2011,"0 to 30,000",6914
155400,2011,"0 to 30,000",16174
NULL,2011,"0 to 30,000",8248
NULL,2011,"0 to 30,000",NULL
1119200,2011,"0 to 30,000",4650
1192200,2011,"0 to 30,000",12081
794700,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
190400,2011,"0 to 30,000",14392
380800,2011,"0 to 30,000",23926
NULL,2011,"0 to 30,000",NULL
233700,2011,"0 to 30,000",10553
163700,2011,"0 to 30,000",NULL
4153800,2011,"0 to 30,000",5011
178700,2011,"0 to 30,000",11467
190500,2011,"0 to 30,000",12058
905804,2011,"0 to 30,000",NULL
905803,2011,"0 to 30,000",NULL
348000,2011,"0 to 30,000",14106
905800,2011,"0 to 30,000",15345
3266300,2011,"0 to 30,000",11405
146700,2011,"0 to 30,000",15975
3076300,2011,"0 to 30,000",8833
573300,2011,"0 to 30,000",6289
3747300,2011,"0 to 30,000",NULL
NULL,2011,"0 to 30,000",NULL
4148200,2011,"0 to 30,000",9018
NULL,2011,"0 to 30,000",NULL
2323000,2011,"0 to 30,000",NULL
3101500,2011,"0 to 30,000",2681
377000,2011,"0 to 30,000",5054
