41514,2012,11,48,22.9,B
3119,2012,1773,7351,24.1,A
3998,2012,748,3481,21.4,A
21163,2012,388,1984,19.5,P
31158,2012,376,1862,20.1,A
10997,2012,312,1381,22.5,A
5599,2012,30,137,21.8,A
38044,2012,176,815,21.5,A
3582,2012,75,394,19,A
30079,2012,21,94,22.3,A
31593,2012,14,63,22.2,A
41308,2012,9,40,22.5,B
2362,2012,855,3967,21.5,P
2274,2012,492,2027,24.2,A
3283,2012,167,898,18.5,A
2297,2012,127,691,18.3,A
32804,2012,26,164,15.8,A
36274,2012,18,110,16.3,A
41203,2012,14,65,21.5,B
21782,2012,9,58,15.5,A
26164,2012,998,4211,23.6,A
21077,2012,506,1997,25.3,A
1290,2012,175,866,20.2,A
1280,2012,223,1000,22.3,A
1335,2012,195,858,22.7,A
35433,2012,116,540,21.4,A
5306,2012,63,312,20.1,A
23485,2012,39,237,16.4,A
1545,2012,30,164,18.2,A
2276,2012,327,1656,19.7,A
31281,2012,237,971,24.4,A
2919,2012,88,436,20.1,A
1118,2012,133,623,21.3,A
38163,2012,43,309,13.9,A
41519,2012,25,79,31.6,A
20543,2012,55,266,20.6,A
41324,2012,15,47,31.9,B
26167,2012,687,3258,21,P
3936,2012,500,2111,23.6,P
3999,2012,163,873,18.6,A
2426,2012,175,701,24.9,A
21408,2012,211,641,32.9,A
2433,2012,81,373,21.7,A
1344,2012,72,280,25.7,A
33273,2012,9,34,26.4,A
21603,2012,642,2698,23.7,P
5498,2012,189,897,21,A
1848,2012,206,917,22.4,P
41657,2012,5,24,20.8,B
21370,2012,12,63,19,A
41411,2012,6,50,12,A
1076,2012,649,2943,22,A
20740,2012,695,3099,22.4,A
6768,2012,280,1631,17.1,A
20693,2012,130,851,15.2,A
1681,2012,58,298,19.4,A
34096,2012,24,103,23.3,A
25864,2012,20,166,12,A
41927,2012,6,12,50,B
21160,2012,1899,8463,22.4,A
11046,2012,407,1872,21.7,A
5378,2012,272,1247,21.8,A
5697,2012,198,852,23.2,P
2404,2012,144,759,18.9,A
4033,2012,121,613,19.7,A
9010,2012,120,649,18.4,P
38853,2012,33,147,22.4,A
3602,2012,48,169,28.4,A
7266,2012,1023,4799,21.3,A
2484,2012,495,2709,18.2,P
2468,2012,222,984,22.5,P
8862,2012,133,648,20.5,A
10363,2012,122,457,26.6,A
10858,2012,72,388,18.5,A
3928,2012,115,529,21.7,A
4743,2012,48,240,20,A
21890,2012,28,188,14.8,A
21661,2012,23,177,12.9,P
30107,2012,9,50,18,A
23623,2012,4,38,10.5,P
4925,2012,462,2286,20.2,A
3583,2012,142,621,22.8,A
5022,2012,56,316,17.7,A
30151,2012,21,88,23.8,A
21822,2012,12,69,17.3,A
41515,2012,24,65,36.9,A
3040,2012,1196,5183,23,P
4878,2012,328,1544,21.2,A
1113,2012,428,1634,26.1,A
23397,2012,213,1135,18.7,A
8543,2012,14,54,25.9,A
21585,2012,164,780,21,A
7491,2012,155,699,22.1,A
3574,2012,113,578,19.5,A
2880,2012,68,477,14.2,A
41625,2012,43,202,21.2,A
31555,2012,1,9,11.1,P
25728,2012,14,48,29.1,A
21540,2012,22,130,16.9,A
23141,2012,18,105,17.1,A
7120,2012,1761,6820,25.8,P
3773,2012,487,2398,20.3,A
30353,2012,365,2478,14.7,A
22482,2012,390,1787,21.8,A
2660,2012,158,698,22.6,A
22375,2012,193,885,21.8,A
1103,2012,41,262,15.6,A
1242,2012,42,196,21.4,A
41552,2012,13,94,13.8,A
20565,2012,19,95,20,P
37303,2012,276,1181,23.3,A
8303,2012,308,1690,18.2,A
