OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
3173300,2011,NULL,NULL,NULL,NULL,NULL
2234600,2011,19291,21875,22349,NULL,NULL
259600,2011,10829,14568,NULL,14568,NULL
3429600,2011,NULL,NULL,NULL,NULL,NULL
1226300,2011,5593,8395,9247,NULL,NULL
2505400,2011,4778,6021,7369,8369,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
3468500,2011,30293,30293,30293,NULL,NULL
3051400,2011,7444,NULL,NULL,NULL,NULL
100900,2011,9574,13444,15825,17896,18261
831000,2011,9071,9928,10325,10715,10800
233400,2011,13635,16573,20065,23974,25521
4021300,2011,8095,NULL,NULL,NULL,NULL
559900,2011,4392,5889,7813,8663,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
163300,2011,16229,17831,20251,22572,25183
345800,2011,13684,14447,16633,20122,20356
3727600,2011,21317,22538,24826,25874,25874
3776300,2011,28641,31971,32595,33082,33082
648700,2011,16271,NULL,NULL,NULL,NULL
163400,2011,12418,12560,15328,19364,20303
354300,2011,14486,15458,17518,22910,26393
1201500,2011,5950,6502,9724,11569,11814
2362800,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
347800,2011,8019,9739,12800,13945,13827
354400,2011,NULL,NULL,NULL,NULL,NULL
737200,2011,12901,13258,14399,15650,15881
2297702,2011,6488,6168,10057,NULL,NULL
2297700,2011,5822,6329,7774,NULL,NULL
2297701,2011,5246,6194,7833,NULL,NULL
2297705,2011,5634,6434,7108,10215,NULL
1162100,2011,11570,11989,13705,15074,16581
1162101,2011,13408,14093,14926,16203,17917
834300,2011,4599,6125,NULL,NULL,NULL
4160500,2011,7785,6891,NULL,NULL,NULL
2258600,2011,15457,15683,18651,19380,0
NULL,2011,9361,8756,12544,12861,NULL
1085800,2011,11193,12382,13329,14223,14388
NULL,2011,10789,11316,12215,12862,13664
2519800,2011,9476,11106,12102,14105,NULL
4171700,2011,9221,11090,12032,13238,13238
3691400,2011,NULL,NULL,NULL,NULL,NULL
3941300,2011,11900,13458,15482,16838,29470
3837300,2011,15531,NULL,NULL,NULL,NULL
4155900,2011,14135,16434,NULL,16434,16434
NULL,2011,NULL,NULL,NULL,NULL,NULL
2258400,2011,10171,11397,14516,15247,15247
NULL,2011,20238,13436,NULL,NULL,NULL
4140700,2011,12674,14822,16516,18771,17521
4141000,2011,16543,16631,16631,16631,16752
4137800,2011,13237,12719,17158,18062,18348
2600900,2011,11656,13102,15626,16016,16016
4167100,2011,10613,13353,15664,15837,15837
NULL,2011,12420,15520,17370,17370,17370
2117800,2011,10930,12631,14343,16144,16144
NULL,2011,16808,19385,18654,20429,20429
NULL,2011,NULL,NULL,NULL,NULL,NULL
2123200,2011,10066,11377,13217,NULL,NULL
NULL,2011,9628,12841,12841,NULL,NULL
3839300,2011,26818,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,8847,9874,11655,11210,12105
4072300,2011,9248,8633,11757,13128,13866
4142300,2011,7994,9649,2616,NULL,NULL
4119400,2011,16016,17010,18244,NULL,NULL
4134800,2011,12387,13322,16100,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
987300,2011,5024,5115,NULL,NULL,NULL
4160700,2011,8670,5324,NULL,12490,NULL
492900,2011,NULL,NULL,NULL,NULL,NULL
598700,2011,NULL,NULL,NULL,NULL,NULL
370200,2011,17970,17267,17494,19405,19228
003702A1  ,2011,21765,22340,22740,NULL,NULL
4038400,2011,15354,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
3523300,2011,22186,22186,NULL,NULL,NULL
3126300,2011,21443,21443,NULL,NULL,NULL
3573300,2011,20345,NULL,NULL,NULL,NULL
2596412,2011,19932,20024,20232,21643,21643
3176300,2011,21831,NULL,23330,26387,NULL
3616300,2011,22173,24769,25575,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
3883400,2011,19340,18972,20894,23658,23658
4156400,2011,20479,20879,25031,NULL,NULL
3110700,2011,20780,21805,24523,24997,NULL
3986300,2011,71600,70675,NULL,NULL,NULL
244900,2011,16432,16550,16294,20039,21198
3160300,2011,12715,NULL,NULL,NULL,NULL
826300,2011,17914,20205,20443,NULL,NULL
462100,2011,22377,23404,23760,NULL,NULL
