OPEID,InstitutionName,PublicPrivate
1216500,ATLANTA METROPOLITAN STATE COLLEGE,PUBLIC
2580200,ATLANTA SCHOOL OF MASSAGE,PRIVATE
854300,ATLANTA TECHNICAL COLLEGE,PUBLIC
3173300,ATLANTA''S JOHN MARSHALL LAW SCHOOL,NULL
2234600,ATLANTIC BEAUTY & SPA ACADEMY LLC,PRIVATE
259600,ATLANTIC CAPE COMMUNITY COLLEGE,PUBLIC
3429600,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE,NULL
1226300,ATLANTIC TECHNICAL COLLEGE,PRIVATE
2505400,ATLANTIC UNIVERSITY COLLEGE,PRIVATE
3468500,ATS INSTITUTE OF TECHNOLOGY,PRIVATE
3051400,AUBURN CAREER CENTER,PRIVATE
100900,AUBURN UNIVERSITY,PUBLIC
831000,AUBURN UNIVERSITY AT MONTGOMERY,PUBLIC
233400,AUGSBURG COLLEGE,PRIVATE
4021300,AUGUSTA SCHOOL OF MASSAGE,PRIVATE
559900,AUGUSTA TECHNICAL COLLEGE,PUBLIC
163300,AUGUSTANA COLLEGE,PRIVATE
345800,AUGUSTANA UNIVERSITY,PRIVATE
3727600,AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS-AUSTIN,PRIVATE
648700,AULTMAN COLLEGE OF NURSING AND HEALTH SCIENCES,PRIVATE
163400,AURORA UNIVERSITY,PRIVATE
354300,AUSTIN COLLEGE,PRIVATE
1201500,AUSTIN COMMUNITY COLLEGE DISTRICT,PUBLIC
2362800,AUSTIN GRADUATE SCHOOL OF THEOLOGY,NULL
347800,AUSTIN PEAY STATE UNIVERSITY,PUBLIC
354400,AUSTIN PRESBYTERIAN THEOLOGICAL SEMINARY,NULL
737200,AUSTIN''S SCHOOL OF SPA TECHNOLOGY,PRIVATE
2297702,AUTOMECA TECHNICAL COLLEGE-AGUADILLA,PRIVATE
2297700,AUTOMECA TECHNICAL COLLEGE-BAYAMON,PRIVATE
2297701,AUTOMECA TECHNICAL COLLEGE-CAGUAS,PRIVATE
3075500,AUTOMECA TECHNICAL COLLEGE-PONCE,PRIVATE
1162100,AUTOMOTIVE TRAINING CENTER-EXTON,PRIVATE
1162101,AUTOMOTIVE TRAINING CENTER-WARMINSTER,PRIVATE
834300,AUTRY TECHNOLOGY CENTER,PRIVATE
2258600,AVALON SCHOOL OF COSMETOLOGY-ALAMEDA,PRIVATE
1085800,AVALON SCHOOL OF COSMETOLOGY-MESA,PRIVATE
2519800,AVANCE BEAUTY COLLEGE,PRIVATE
3691400,AVE MARIA SCHOOL OF LAW,NULL
3941300,AVE MARIA UNIVERSITY,PRIVATE
3837300,AVEDA FREDRIC''S INSTITUTE-CINCINNATI,PRIVATE
2258400,AVEDA INSTITUTE-BATON ROUGE,PRIVATE
2600900,AVEDA INSTITUTE-COVINGTON,PRIVATE
2117800,AVEDA INSTITUTE-LAFAYETTE,PRIVATE
2123200,AVEDA INSTITUTE-MINNEAPOLIS,PRIVATE
3839300,AVEDA INSTITUTE-NEW YORK,PRIVATE
4072300,AVEDA INSTITUTE-PROVO,PRIVATE
4119400,AVEDA INSTITUTE-SOUTH FLORIDA,PRIVATE
4134800,AVEDA INSTITUTE-TALLAHASSEE,PRIVATE
987300,AVEDA INSTITUTE-TWIN FALLS,PRIVATE
492900,AVERA MCKENNAN HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,NULL
598700,AVERA SACRED HEART HOSPITAL,NULL
370200,AVERETT UNIVERSITY,PRIVATE
4038400,AVI CAREER TRAINING,PRIVATE
3523300,AVIATION INSTITUTE OF MAINTENANCE-ATLANTA,PRIVATE
3126300,AVIATION INSTITUTE OF MAINTENANCE-CHESAPEAKE,PRIVATE
3573300,AVIATION INSTITUTE OF MAINTENANCE-DALLAS,PRIVATE
2596412,AVIATION INSTITUTE OF MAINTENANCE-HOUSTON,PRIVATE
3176300,AVIATION INSTITUTE OF MAINTENANCE-INDIANAPOLIS,PRIVATE
3616300,AVIATION INSTITUTE OF MAINTENANCE-KANSAS CITY,PRIVATE
3883400,AVIATION INSTITUTE OF MAINTENANCE-MANASSAS,PRIVATE
3110700,AVIATION INSTITUTE OF MAINTENANCE-PHILADELPHIA,PRIVATE
3986300,AVIATOR COLLEGE OF AERONAUTICAL SCIENCE AND TECHNOLOGY,PRIVATE
244900,AVILA UNIVERSITY,PRIVATE
3160300,AVTEC-ALASKA''S INSTITUTE OF TECHNOLOGY,PRIVATE
826300,AWARD BEAUTY SCHOOL,PRIVATE
462100,AYERS CAREER COLLEGE,PRIVATE
111700,AZUSA PACIFIC UNIVERSITY,PRIVATE
1235900,B M SPURR SCHOOL OF PRACTICAL NURSING,PRIVATE
212100,BABSON COLLEGE,PRIVATE
314700,BACONE COLLEGE,PRIVATE
1107400,BAINBRIDGE STATE COLLEGE,PUBLIC
2622900,BAIS MEDRASH ELYON,PRIVATE
4081300,BAIS MEDRASH TORAS CHESED,PRIVATE
467300,BAKER COLLEGE,PRIVATE
467313,BAKER COLLEGE CENTER FOR GRADUATE STUDIES,PRIVATE
467317,BAKER COLLEGE OF ALLEN PARK,PRIVATE
467305,BAKER COLLEGE OF AUBURN HILLS,PRIVATE
467301,BAKER COLLEGE OF CADILLAC,PRIVATE
467302,BAKER COLLEGE OF CLINTON TOWNSHIP,PRIVATE
467309,BAKER COLLEGE OF JACKSON,PRIVATE
