OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
2179913,2013,64,62,543733,8496
2179909,2013,52,63,477552,9184
2179938,2013,1734,83,13775085,7944
2179948,2013,2029,88,15776710,7776
2179941,2013,1591,82,15153901,9525
2179944,2013,1602,83,14428502,9007
2179945,2013,1077,84,9916301,9207
2179947,2013,1341,68,12721023,9486
2179943,2013,1168,81,10902455,9334
2179939,2013,573,88,5444208,9501
2179901,2013,908,76,6818807,7510
2179903,2013,66,73,558457,8461
972300,2013,182,93,1512962,8313
886400,2013,38,48,213009,5606
1180200,2013,52,56,268366,5161
1084700,2013,833,80,2346789,2817
2598000,2013,NULL,NULL,NULL,
711300,2013,354,52,3239481,9151
NULL,2013,NULL,NULL,NULL,
3115000,2013,486,85,3462149,7124
NULL,2013,NULL,NULL,NULL,
4120900,2013,101,47,833681,8254
3695500,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
NULL,2013,4566,58,32690754,7160
NULL,2013,1840,57,14397790,7825
NULL,2013,3905,66,34432467,8818
108100,2013,18690,48,129367030,6922
NULL,2013,2013,61,15438020,7669
4131400,2013,NULL,NULL,NULL,
107100,2013,436,6,1816710,4167
108700,2013,884,82,6645088,7517
3997300,2013,48,92,165257,3443
3005100,2013,61,100,323253,5299
3023400,2013,121,68,961535,7947
1286000,2013,0,0,0,
2348200,2013,0,0,0,
109100,2013,621,13,2986551,4809
109000,2013,5378,53,39298424,7307
109003,2013,755,53,5024079,6654
109002,2013,359,18,1352662,3768
109000,2013,NULL,NULL,NULL,
108900,2013,4776,47,29146994,6103
2081400,2013,195,84,1439309,7381
2521200,2013,194,72,1377400,7100
3159300,2013,80,100,560880,7011
154600,2013,3865,57,24260489,6277
2257400,2013,39,41,222774,5712
643500,2013,55,79,393118,7148
NULL,2013,0,0,0,
301100,2013,150,78,1077660,7184
111600,2013,846,51,6178019,7303
2363500,2013,43,61,158628,3689
2538500,2013,55,68,340569,6192
2538502,2013,70,72,430139,6145
2525900,2013,98,36,588047,6000
3816301,2013,206,51,726339,3526
3816300,2013,193,64,1016922,5269
3095500,2013,2987,64,18562141,6214
195300,2013,NULL,NULL,NULL,
195200,2013,1045,68,8687686,8314
4057300,2013,515,52,2278372,4424
403300,2013,2549,32,5933907,2328
188100,2013,51103,74,393887385,7708
199000,2013,1435,37,7799900,5435
3117000,2013,91,52,458693,5041
301200,2013,1907,59,14070552,7378
2187900,2013,108,61,583859,5406
4188700,2013,12,92,73329,6111
2595600,2013,0,0,0,
3012300,2013,152,59,359893,2368
1115000,2013,121,7,629712,5204
